state,pollster,office_type,start_date,end_date,answer,candidate_id,candidate_name,candidate_party,pct
Michigan,Public Policy Polling,U.S. President,10/29/20,10/30/20,Biden,13256,Joseph R. Biden Jr.,DEM,54
Michigan,Public Policy Polling,U.S. President,10/29/20,10/30/20,Trump,13254,Donald Trump,REP,44
Michigan,Public Policy Polling,U.S. President,10/29/20,10/30/20,Jorgensen,14611,Jo Jorgensen,LIB,1
Michigan,Public Policy Polling,U.S. President,10/29/20,10/30/20,Hawkins,14612,Howie Hawkins,GRE,0
North Carolina,Rasmussen Reports/Pulse Opinion Research,U.S. President,10/28/20,10/29/20,Biden,13256,Joseph R. Biden Jr.,DEM,47
North Carolina,Rasmussen Reports/Pulse Opinion Research,U.S. President,10/28/20,10/29/20,Trump,13254,Donald Trump,REP,48
Florida,Public Policy Polling,U.S. President,10/28/20,10/29/20,Biden,13256,Joseph R. Biden Jr.,DEM,52
Florida,Public Policy Polling,U.S. President,10/28/20,10/29/20,Trump,13254,Donald Trump,REP,45
Pennsylvania,Public Policy Polling,U.S. President,10/28/20,10/29/20,Biden,13256,Joseph R. Biden Jr.,DEM,52
Pennsylvania,Public Policy Polling,U.S. President,10/28/20,10/29/20,Trump,13254,Donald Trump,REP,45
Arizona,Rasmussen Reports/Pulse Opinion Research,U.S. President,10/27/20,10/29/20,Biden,13256,Joseph R. Biden Jr.,DEM,45
Arizona,Rasmussen Reports/Pulse Opinion Research,U.S. President,10/27/20,10/29/20,Trump,13254,Donald Trump,REP,49
,Rasmussen Reports/Pulse Opinion Research,U.S. President,10/27/20,10/29/20,Biden,13256,Joseph R. Biden Jr.,DEM,49
,Rasmussen Reports/Pulse Opinion Research,U.S. President,10/27/20,10/29/20,Trump,13254,Donald Trump,REP,46
Michigan,RMG Research,U.S. President,10/27/20,10/29/20,Biden,13256,Joseph R. Biden Jr.,DEM,51
Michigan,RMG Research,U.S. President,10/27/20,10/29/20,Trump,13254,Donald Trump,REP,44
Florida,Harris Insights & Analytics,U.S. President,10/26/20,10/29/20,Biden,13256,Joseph R. Biden Jr.,DEM,50
Florida,Harris Insights & Analytics,U.S. President,10/26/20,10/29/20,Trump,13254,Donald Trump,REP,47
North Carolina,Harris Insights & Analytics,U.S. President,10/26/20,10/29/20,Biden,13256,Joseph R. Biden Jr.,DEM,49
North Carolina,Harris Insights & Analytics,U.S. President,10/26/20,10/29/20,Trump,13254,Donald Trump,REP,48
Pennsylvania,Harris Insights & Analytics,U.S. President,10/26/20,10/29/20,Biden,13256,Joseph R. Biden Jr.,DEM,51
Pennsylvania,Harris Insights & Analytics,U.S. President,10/26/20,10/29/20,Trump,13254,Donald Trump,REP,46
,Opinium,U.S. President,10/26/20,10/29/20,Biden,13256,Joseph R. Biden Jr.,DEM,55
,Opinium,U.S. President,10/26/20,10/29/20,Trump,13254,Donald Trump,REP,41
,Opinium,U.S. President,10/26/20,10/29/20,Biden,13256,Joseph R. Biden Jr.,DEM,53
,Opinium,U.S. President,10/26/20,10/29/20,Trump,13254,Donald Trump,REP,41
,IBD/TIPP,U.S. President,10/25/20,10/29/20,Biden,13256,Joseph R. Biden Jr.,DEM,50.5
,IBD/TIPP,U.S. President,10/25/20,10/29/20,Trump,13254,Donald Trump,REP,44.9
,IBD/TIPP,U.S. President,10/25/20,10/29/20,Jorgensen,14611,Jo Jorgensen,LIB,1.4
,IBD/TIPP,U.S. President,10/25/20,10/29/20,Hawkins,14612,Howie Hawkins,GRE,0.4
,IBD/TIPP,U.S. President,10/25/20,10/29/20,Biden,13256,Joseph R. Biden Jr.,DEM,50.9
,IBD/TIPP,U.S. President,10/25/20,10/29/20,Trump,13254,Donald Trump,REP,44.3
,USC Dornsife/Los Angeles Times,U.S. President,10/16/20,10/29/20,Biden,13256,Joseph R. Biden Jr.,DEM,52.53
,USC Dornsife/Los Angeles Times,U.S. President,10/16/20,10/29/20,Trump,13254,Donald Trump,REP,42.44
,USC Dornsife/Los Angeles Times,U.S. President,10/16/20,10/29/20,Biden,13256,Joseph R. Biden Jr.,DEM,54.25
,USC Dornsife/Los Angeles Times,U.S. President,10/16/20,10/29/20,Trump,13254,Donald Trump,REP,42.18
,USC Dornsife/Los Angeles Times,U.S. President,10/16/20,10/29/20,Biden,13256,Joseph R. Biden Jr.,DEM,53.52
,USC Dornsife/Los Angeles Times,U.S. President,10/16/20,10/29/20,Trump,13254,Donald Trump,REP,42.49
Georgia,Public Policy Polling,U.S. President,10/27/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,48
Georgia,Public Policy Polling,U.S. President,10/27/20,10/28/20,Trump,13254,Donald Trump,REP,46
Ohio,Gravis Marketing,U.S. President,10/27/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,47
Ohio,Gravis Marketing,U.S. President,10/27/20,10/28/20,Trump,13254,Donald Trump,REP,49
Texas,RMG Research,U.S. President,10/27/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,46
Texas,RMG Research,U.S. President,10/27/20,10/28/20,Trump,13254,Donald Trump,REP,50
Nevada,Gravis Marketing,U.S. President,10/27/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,50
Nevada,Gravis Marketing,U.S. President,10/27/20,10/28/20,Trump,13254,Donald Trump,REP,44
,Harris Insights & Analytics,U.S. President,10/27/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,54
